Run_Start,Run_End,Bunch_Spacing,CT_Offset,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset
4865,4870,4.008,0.25,47.25,47.1,47.8,-1 # Q2 = 3, W = 2.32, right, high eps
4871,4880,4.008,0.25,44.55,44.1,44.85,-1 # Q2 = 3, W = 2.32, centre, high eps
4881,4890,4.008,0.25,44.55,44.1,44.85,-1 # Q2 = 3, W = 2.32, left, high eps
4891,4891,4.008,0.25,44.65,44.65,45.15,-1 # Q2 = 2.115, W = 2.95, right, high eps
4892,4912,4.008,0.25,44.65,44.65,45.15,-1 # Q2 = 2.115, W = 2.95, left, high eps
4913,4924,4.008,0.25,44.65,44.65,45.15,-1 # Q2 = 2.115, W = 2.95, centre, high eps
4925,4944,4.008,0.25,44.65,44.65,45.15,-1 # Q2 = 2.115, W = 2.95, right, high eps
4945,4947,4.008,0.25,44.65,44.65,45.15,-1 # Q2 = 2.115, W = 2.95, centre, high eps
4948,4959,4.008,0.25,44.65,44.65,45.15,-1 # Q2 = 2.115, W = 2.95, right, high eps
4965,4980,4.008,0.25,44.4,44.6,44.7,-1 # Q2 = 4.4, W =2.74, right, high eps
4981,4998,4.008,0.25,44.4,44.6,44.7,-1 # Q2 = 4.4, W =2.74, centre, high eps
4999,5012,4.008,0.25,44.4,44.6,44.7,-1 # Q2 = 4.4, W =2.74, left, high eps
5013,5039,4.008,0.25,44.45,44.55,44.6,-1 # Q2 =3, W = 3.14, left, high eps
5040,5077,4.008,0.25,44.45,44.55,44.6,-1 # Q2 =3, W = 3.14, centre, high eps
5078,5123,4.008,0.25,44.45,44.55,44.6,-1 # Q2 =3, W = 3.14, right, high eps
5124,5145,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, right, high eps
5182,5220,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, right, high eps
5221,5235,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, centre, high eps
5236,5250,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, left, high eps
5251,5261,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, centre, high eps
5262,5263,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, left, high eps
5264,5264,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, right, high eps
5265,5270,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, centre, high eps
5271,5274,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, left, high eps
5275,5294,4.008,0.25,44.2,44.3,44.4,-1 # Q2 = 5.5, W = 3.02, right, high eps
5304,5334,4.008,0.25,44.45,44.55,44.6,-1 # Q2 = 3, W = 3.14, right, high eps
6638,6708,2,0.25,47.15,47.15,48.65,-1 # Q2 = 0.05, W = 2.4, centre, low eps
6709,6789,2,0.25,47.15,47.15,48.65,-1 # Q2 = 0.05, W = 2.4, left, low eps
6790,6857,2,0.25,47.15,47.15,48.65,-1 # Q2 = 0.05, W = 2.4, centre, low eps
6885,6920,2,0.25,47.15,47.15,48.65,-1 # Q2 = 0.05, W = 2.4, centre, high eps
6921,6947,2,0.25,47.15,47.15,48.65,-1 # Q2 = 0.05, W = 2.4, left, high eps
6948,6971,2,0.25,47.15,47.15,48.65,-1 # Q2 = 0.05, W = 2.4, centre, high eps 
6972,6978,2,0.25,47.15,47.15,48.65,-1 # Q2 = 0.05, W = 2.4, left, high eps
6979,7045,2,0.25,47.15,47.15,48.65,-1 # Q2 = 0.05, W = 2.4, right, high eps 	
7871,7881,4.008,0.25,43.45,43.3,43.7,-1 # Q2 = 3, W = 2.32, centre, low eps
7882,7888,4.008,0.25,43.45,43.3,43.7,-1 # Q2 = 3, W = 2.32, left, low eps
7891,7908,4.008,0.25,43.5,43.5,43.65,-1 # Q2 = 2.115, W = 2.95, left, low eps
7909,7938,4.008,0.25,43.5,43.5,43.65,-1 # Q2 = 2.115, W = 2.95, centre, low eps
7978,7989,4.008,0.25,43.84,43.75,44,2 # Q2 = 4.4, W = 2.74, centre, low eps, RF switch after 7989 (offset is temp only)
7990,8002,4.008,0.25,43.84,43.75,44,4 # Q2 = 4.4, W = 2.74, centre, low eps
8003,8037,4.008,0.25,43.5,43.7,43.5,-1 # Q2 = 4.4, W = 2.74, left, low eps
8038,8110,4.008,0.25,43.45,43.55,43.45,-1 # Q2 = 3, W = 3.14, centre, low eps
8111,8185,4.008,0.25,43.45,43.55,43.45,-1 # Q2 = 3, W = 3.14, left, low eps
8186,8246,4.008,0.25,43.5,43.6,43.4,-1 # Q2 = 5.5, W = 3.02, left, low eps
8251,8298,4.008,0.25,43.5,43.6,43.4,-1 # Q2 = 5.5, W = 3.02, centre, low eps
8304,8356,4.008,0.25,43.5,43.6,43.4,-1 # Q2 = 5.5, W = 3.02, centre, low eps
