Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset
4865,4866,4.008,0.250,2,6,47.306,47.138,49.272,-1.030
4866,4867,4.008,0.250,2,6,47.357,47.163,49.328,-1.030
4867,4868,4.008,0.250,2,6,47.327,47.214,49.326,-1.030
4868,4869,4.008,0.250,2,6,47.283,47.176,49.255,-1.030
4871,4872,4.008,0.250,2,6,44.704,44.526,46.631,0.119
4873,4874,4.008,0.250,2,6,44.715,44.612,46.659,0.119
4874,4875,4.008,0.250,2,6,44.731,44.635,46.707,0.119
4875,4876,4.008,0.250,2,6,44.399,44.346,46.466,0.119
4876,4877,4.008,0.250,2,6,44.420,44.354,46.516,0.119
4877,4878,4.008,0.250,2,6,44.338,44.345,46.414,0.119
4878,4879,4.008,0.250,2,6,44.408,44.401,46.468,0.119
4879,4880,4.008,0.250,2,6,44.381,44.365,46.455,0.119
4882,4883,4.008,0.250,2,6,44.394,44.542,46.494,0.113
4884,4885,4.008,0.250,2,6,44.429,44.492,46.601,0.113
4885,4886,4.008,0.250,2,6,44.473,44.625,46.616,0.113
4887,4888,4.008,0.250,2,6,44.321,44.496,46.447,0.113
4888,4889,4.008,0.250,2,6,44.373,44.534,46.499,0.113
4889,4890,4.008,0.250,2,6,44.441,44.535,46.574,0.113
4890,4891,4.008,0.250,2,6,44.467,44.615,46.590,0.113
4892,4893,4.008,0.250,2,6,44.394,44.564,45.611,-1.000
4893,4894,4.008,0.250,2,6,44.412,44.538,45.641,-1.000
4894,4895,4.008,0.250,2,6,44.497,44.533,45.597,-1.000
4895,4896,4.008,0.250,2,6,44.570,44.729,45.832,-1.000
4896,4897,4.008,0.250,2,6,44.555,44.649,45.752,-1.000
4897,4898,4.008,0.250,2,6,44.570,44.697,45.735,-1.000
4898,4899,4.008,0.250,2,6,44.511,44.589,45.634,-1.000
4899,4900,4.008,0.250,2,6,44.506,44.668,45.745,-1.000
4900,4901,4.008,0.250,2,6,44.528,44.648,45.737,-1.000
4901,4902,4.008,0.250,2,6,44.656,44.754,45.784,-1.000
4904,4905,4.008,0.250,2,6,44.448,44.527,45.724,-1.000
4905,4906,4.008,0.250,2,6,44.537,44.700,45.743,-1.000
4906,4907,4.008,0.250,2,6,44.548,44.625,45.805,-1.000
4907,4908,4.008,0.250,2,6,44.542,44.706,45.799,-1.000
4908,4909,4.008,0.250,2,6,44.513,44.635,45.675,-1.000
4909,4910,4.008,0.250,2,6,44.522,44.639,45.631,-1.000
4914,4915,4.008,0.250,2,6,44.531,44.553,45.659,0.145
4916,4917,4.008,0.250,2,6,44.522,44.589,45.676,0.145
4917,4918,4.008,0.250,2,6,44.533,44.597,45.684,0.145
4918,4919,4.008,0.250,2,6,44.542,44.570,45.674,0.145
4919,4920,4.008,0.250,2,6,44.560,44.583,45.665,0.145
4920,4921,4.008,0.250,2,6,44.525,44.543,45.641,0.145
4921,4922,4.008,0.250,2,6,44.527,44.556,45.651,0.145
4922,4923,4.008,0.250,2,6,44.483,44.501,45.605,0.145
4923,4924,4.008,0.250,2,6,44.517,44.577,45.622,0.145
4924,4925,4.008,0.250,2,6,44.453,44.479,45.599,0.145
4925,4926,4.008,0.250,2,6,44.342,44.365,45.375,0.119
4926,4927,4.008,0.250,2,6,44.381,44.458,45.467,0.119
4927,4928,4.008,0.250,2,6,44.389,44.465,45.568,0.119
4928,4929,4.008,0.250,2,6,44.407,44.430,45.428,0.119
4929,4930,4.008,0.250,2,6,44.365,44.438,45.493,0.119
4930,4931,4.008,0.250,2,6,44.394,44.485,45.578,0.119
4931,4932,4.008,0.250,2,6,44.314,44.393,45.439,0.119
4932,4933,4.008,0.250,2,6,44.375,44.463,45.551,0.119
4933,4934,4.008,0.250,2,6,44.419,44.471,45.574,0.119
4934,4935,4.008,0.250,2,6,44.252,44.315,45.417,0.119
4935,4936,4.008,0.250,2,6,44.322,44.249,45.845,0.119
4936,4937,4.008,0.250,2,6,44.345,44.402,45.545,0.119
4937,4938,4.008,0.250,2,6,44.368,44.454,45.581,0.119
4938,4939,4.008,0.250,2,6,44.382,44.452,45.534,0.119
4939,4940,4.008,0.250,2,6,44.388,44.467,45.511,0.119
4943,4944,4.008,0.250,2,6,44.367,44.442,45.533,0.119
4944,4945,4.008,0.250,2,6,44.381,44.440,45.463,0.119
4945,4946,4.008,0.250,2,6,44.458,44.490,45.621,0.145
4946,4947,4.008,0.250,2,6,44.452,44.484,45.620,0.145
4947,4948,4.008,0.250,2,6,44.423,44.446,45.600,0.145
4948,4949,4.008,0.250,2,6,44.330,44.386,45.435,0.119
4949,4950,4.008,0.250,2,6,44.270,44.347,45.413,0.119
4950,4951,4.008,0.250,2,6,44.314,44.383,45.476,0.119
4951,4952,4.008,0.250,2,6,44.342,44.393,45.482,0.119
4952,4953,4.008,0.250,2,6,44.296,44.374,45.481,0.119
4953,4954,4.008,0.250,2,6,44.303,44.378,45.404,0.119
4954,4955,4.008,0.250,2,6,44.298,44.360,45.441,0.119
4955,4956,4.008,0.250,2,6,44.253,44.343,45.398,0.119
4956,4957,4.008,0.250,2,6,44.281,44.353,45.419,0.119
4957,4958,4.008,0.250,2,6,44.255,44.354,45.404,0.119
4958,4959,4.008,0.250,2,6,44.285,44.364,45.431,0.119
4959,4960,4.008,0.250,2,6,44.261,44.335,45.444,0.119
4965,4966,4.008,0.250,2,6,44.318,44.290,45.343,0.125
4966,4967,4.008,0.250,2,6,44.352,44.445,45.462,0.125
4967,4968,4.008,0.250,2,6,44.294,44.438,45.256,0.125
4968,4969,4.008,0.250,2,6,44.324,44.508,45.318,0.125
4969,4970,4.008,0.250,2,6,44.343,44.482,45.333,0.125
4970,4971,4.008,0.250,2,6,44.235,44.393,45.185,0.125
4971,4972,4.008,0.250,2,6,44.265,44.453,45.182,0.125
4972,4973,4.008,0.250,2,6,44.291,44.477,45.169,0.125
4973,4974,4.008,0.250,2,6,44.196,44.191,45.125,0.125
4974,4975,4.008,0.250,2,6,44.222,44.524,45.158,0.125
4975,4976,4.008,0.250,2,6,44.257,44.397,45.218,0.125
4982,4983,4.008,0.250,2,6,44.360,44.492,45.308,0.050
4983,4984,4.008,0.250,2,6,44.451,44.652,45.823,0.050
4984,4985,4.008,0.250,2,6,44.313,44.547,45.355,0.050
4985,4986,4.008,0.250,2,6,44.307,44.470,45.339,0.050
4986,4987,4.008,0.250,2,6,44.345,44.628,45.625,0.050
4987,4988,4.008,0.250,2,6,44.328,44.625,45.523,0.050
4990,4991,4.008,0.250,2,6,44.271,44.406,45.327,0.050
4991,4992,4.008,0.250,2,6,44.335,44.485,45.304,0.050
4995,4996,4.008,0.250,2,6,44.292,44.436,45.272,0.050
4996,4997,4.008,0.250,2,6,44.249,44.373,45.303,0.050
4997,4998,4.008,0.250,2,6,44.261,44.419,45.324,0.050
4998,4999,4.008,0.250,2,6,44.247,44.394,45.280,0.050
4999,5000,4.008,0.250,2,6,44.252,44.400,45.125,-0.097
5000,5001,4.008,0.250,2,6,44.400,44.771,45.447,-0.097
5001,5002,4.008,0.250,2,6,44.149,44.423,45.095,-0.097
5002,5003,4.008,0.250,2,6,44.217,44.456,45.275,-0.097
5003,5004,4.008,0.250,2,6,44.270,44.508,45.366,-0.097
5004,5005,4.008,0.250,2,6,44.292,44.585,45.365,-0.097
5005,5006,4.008,0.250,2,6,44.200,44.522,45.125,-0.097
5006,5007,4.008,0.250,2,6,44.244,44.411,45.155,-0.097
5007,5008,4.008,0.250,2,6,44.321,44.571,45.331,-0.097
5008,5009,4.008,0.250,2,6,44.266,44.539,45.362,-0.097
5009,5010,4.008,0.250,2,6,44.275,44.373,45.369,-0.097
5013,5014,4.008,0.250,2,6,44.357,44.429,45.282,-0.040
5014,5015,4.008,0.250,2,6,44.311,44.470,45.278,-0.040
5015,5016,4.008,0.250,2,6,44.324,44.458,45.258,-0.040
5016,5017,4.008,0.250,2,6,44.322,44.521,45.136,-0.040
5017,5018,4.008,0.250,2,6,44.335,44.570,45.375,-0.040
5018,5019,4.008,0.250,2,6,44.291,44.503,45.152,-0.040
5019,5020,4.008,0.250,2,6,44.282,44.526,45.034,-0.040
5020,5021,4.008,0.250,2,6,44.273,44.479,45.155,-0.040
5021,5022,4.008,0.250,2,6,44.274,44.482,45.236,-0.040
5022,5023,4.008,0.250,2,6,44.324,44.527,45.126,-0.040
5023,5024,4.008,0.250,2,6,44.249,44.473,45.240,-0.040
5024,5025,4.008,0.250,2,6,44.294,44.488,45.090,-0.040
5025,5026,4.008,0.250,2,6,44.284,44.496,45.311,-0.040
5026,5027,4.008,0.250,2,6,44.305,44.455,45.096,-0.040
5027,5028,4.008,0.250,2,6,44.307,44.454,45.139,-0.040
5031,5032,4.008,0.250,2,6,44.262,44.463,45.080,-0.040
5032,5033,4.008,0.250,2,6,44.277,44.496,45.215,-0.040
5033,5034,4.008,0.250,2,6,44.248,44.469,45.164,-0.040
5038,5039,4.008,0.250,2,6,44.158,44.346,45.052,0.750
5039,5040,4.008,0.250,2,6,44.215,44.370,45.010,0.750
5040,5041,4.008,0.250,2,6,43.979,44.132,45.047,0.750
5041,5042,4.008,0.250,2,6,44.114,44.127,44.880,0.750
5042,5043,4.008,0.250,2,6,44.157,44.232,44.859,0.750
5044,5045,4.008,0.250,2,6,44.142,44.247,44.825,0.750
